sitename,TA_F,TA_F_DAY,TA_F_NIGHT,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,GPP_NT_VUT_REF,wscal,fpar
AU-ASM,26.662,28.4,24.428,331.384,383.346,19.587,93.926,0,2.54,1.7402273999999998,0.27163153886795044,0.22882038220456183
AU-ASM,27.841,29.859,25.457,335.207,380.72,25.408,94.157,0,2.332,1.162554,0.2605637311935425,0.2315534194357665
AU-ASM,28.543000000000006,30.748,25.938,338.524,372.751,29.171,94.211,0,1.992,1.3738142,0.25001055002212524,0.2344129702506633
AU-ASM,28.697,30.986,25.991,340.778,359.8640000000001,31.173,94.262,0,2.548,0.6647562,0.2399837523698807,0.23736842741993705
AU-ASM,28.589,30.709,26.083,341.961,355.275,31.193,94.353,0,2.89,0.41892340000000006,0.23048608005046844,0.2403891837142729
AU-ASM,29.238000000000003,31.3,26.802,334.615,370.856,30.399,94.31,0,2.599,0.434396,0.2214720845222473,0.2434446319046102
AU-ASM,30.176,32.556,27.364,332.407,382.44,32.871,94.123,0,1.9,1.0583684000000002,0.2129065841436386,0.2465041647611247
AU-ASM,31.649,32.979,30.078000000000007,273.139,428.728,31.475,94.114,0.232,1.833,0.6201625999999999,0.20588639378547668,0.2495371750547541
AU-ASM,30.553,32.047,28.788,279.869,424.013,26.24,94.254,1.103,1.815,0.7777628000000001,0.2033653110265732,0.2525130555561833
AU-ASM,27.148000000000003,27.953000000000007,26.197,237.124,413.865,15.225,94.336,8.25,2.979,0.8411021999999999,0.2344572991132736,0.2554011990360974
AU-ASM,23.117,23.762,22.356,106.207,422.38,4.9460000000000015,94.256,13.559,3.554,0.11507426,0.2889816462993622,0.25817099826518164
AU-ASM,22.228,22.759,21.601,104.197,420.581,4.024,94.24,29.664,4.123,1.19286206,0.4162095189094544,0.26079184601433153
AU-ASM,21.801,22.236,21.287,80.362,422.133,3.552,94.094,26.541,4.259,0.6679260599999999,0.5238664746284485,0.2632331350537949
AU-ASM,21.875,22.075,21.638,59.252,425.71,2.695,93.725,39.836,4.956,0.6891049999999999,0.6899072527885437,0.26566130100260504
AU-ASM,19.923,19.899,19.951,6.546,418.905,2.594,93.31,37.172,4.592,-0.04102627400000001,0.8399260640144348,0.2682350158182764
AU-ASM,19.201,19.865,18.416,125.535,396.402,5.6960000000000015,93.897,0.502,5.095,0.9712294,0.8180338740348816,0.270912026779552
AU-ASM,20.465,21.78,18.911,307.916,357.7340000000001,9.755,94.113,0,2.9730000000000003,2.70959242,0.7926424741744995,0.2736500811654037
AU-ASM,20.623,21.994,19.003,237.507,374.035,8.175,94.097,1.1909999999999998,1.974,3.5853839999999995,0.7727077603340149,0.27640692625411684
AU-ASM,22.347,24.355,20.164,317.779,351.67,11.622,94.036,0,1.081,2.683714,0.7466721534729004,0.27914030932466016
AU-ASM,24.24,26.835,21.419,320.483,354.4480000000001,14.925,94.14,0,1.388,1.99071,0.7205071449279785,0.2818079776557765
AU-ASM,24.852,27.536,21.934,308.396,366.529,15.339,94.208,0,2.17,1.7164288,0.6948130130767822,0.284367678526209
AU-ASM,22.706,24.372,20.895,316.058,357.034,13.634,94.319,0,2.724,2.492232,0.6704018115997314,0.28677715921470065
AU-ASM,23.122,25.03,21.049,305.161,365.283,14.253,94.536,0,2.339,1.7629828,0.6465184688568115,0.28899416700016944
AU-ASM,23.05,25.126,20.794,307.066,356.5030000000001,15.532,94.876,0,2.8,1.81374382,0.6233140826225281,0.2909764491609875
AU-ASM,21.618,23.404,19.676,317.1790000000001,331.045,15.651,95.08,0,3.287,2.33400488,0.6010929346084595,0.29268175297609056
AU-ASM,21.427,23.154,19.549,314.492,332.939,14.704,95.183,0,3.563,2.21770488,0.579610288143158,0.2942035325759227
AU-ASM,21.522,23.226,19.669,272.324,369.052,12.045,95.224,0.385,3.439,0.6697784800000001,0.5606201887130737,0.2956620635753228
AU-ASM,24.662,26.563,22.595,253.131,389.82,16.414,94.992,0.115,3.263,2.907122,0.5406343340873718,0.29705532547962576
AU-ASM,25.401,26.76,23.925,202.458,404.251,16.093,94.687,0.155,2.59,0.9394847999999998,0.5215522050857544,0.29838129779427364
AU-ASM,26.608,28.31,24.758000000000006,276.658,399.3,20.277,94.571,0,2.081,2.6981604000000003,0.5023211836814879,0.2996379600243813
AU-ASM,26.351,28.114,24.436,297.893,376.032,20.813,94.564,0,2.193,0.6962345956,0.4838624000549317,0.30082329167539634
AU-ASM,26.137,28.221,23.871,300.61,365.448,21.35,94.717,0,2.185,0.5809324,0.4661313593387604,0.3019352722526538
AU-ASM,25.911,28.007,23.633000000000006,299.139,364.029,20.735,94.743,0,2.095,0.5809324,0.4491375684738159,0.3029718812614886
AU-ASM,25.84,28.047,23.441,297.826,362.345,21.163,94.596,0,2.146,0.8079060200000001,0.4328397810459137,0.303931098207312
AU-ASM,25.04,27.153,22.743,301.83,344.968,21.558000000000003,94.564,0,2.276,1.6893604200000003,0.4172835946083069,0.3048109025952995
AU-ASM,25.243,27.413,22.885,300.105,348.798,21.865,94.505,0,2.77,1.40309182,0.4023608863353729,0.30560927393086906
AU-ASM,26.558000000000003,28.435,24.518,295.033,366.789,22.574,94.431,0,3.704,0.3915131356,0.3880041539669037,0.30632419171935543
AU-ASM,25.451,26.89,23.886,205.235,402.449,14.025,94.433,0.455,4.863,0.9394847999999998,0.3764728605747223,0.3068498264074193
AU-ASM,24.947,26.328000000000007,23.445,215.599,414.195,11.549,94.589,2.63,3.7,2.9508574,0.3756056725978851,0.3071224742407653
AU-ASM,26.107,27.946,24.107,285.618,373.608,19.362,94.578,0,2.716,0.5746735156,0.3624633550643921,0.3072033034232953
AU-ASM,25.359,27.766,22.742,287.519,356.963,20.538,94.548,0,2.092,2.1488132,0.34988972544670105,0.3071534821589013
AU-ASM,25.221,27.803,22.415,286.509,356.1430000000001,20.891,94.462,0,1.826,2.1488132,0.33784887194633484,0.30703417865149835
AU-ASM,25.8,28.391,22.984,282.858,364.975,20.73,94.273,0,1.325,0.62169372,0.3262908756732941,0.3069065611049877
AU-ASM,26.851,29.514,23.957,282.981,368.961,23.392,94.318,0,1.819,0.32409414,0.31517019867897034,0.3068317977232706
AU-ASM,27.464,29.146,25.635,272.847,378.34,24.359,94.482,0,3.2710000000000004,0.7952322800000001,0.30453968048095703,0.3068710567102483
AU-ASM,26.483,27.853,24.994,276.106,372.781,22.081,94.457,0,3.747,0.192152,0.2944139540195465,0.30683571396266673
AU-ASM,25.582,27.032,24.007,277.22,362.991,20.727,94.425,0,3.4810000000000003,1.03805772,0.2847534716129303,0.3065188331341065
AU-ASM,25.767,27.289,24.114,232.106,386.641,20.559,94.297,0,3.32,1.037206,0.27550628781318665,0.30595411406369594
AU-ASM,25.582,26.835,24.22,230.76,386.707,18.631,94.276,0,2.459,0.8490500000000001,0.2666827738285065,0.3051752565905534
AU-ASM,26.253,27.467,24.933000000000003,235.53,392.759,18.228,94.163,0,1.68,0.85426818,0.25822851061820984,0.3042159605537973
AU-ASM,27.138,28.963,25.314,254.591,390.80300000000005,20.208,94.022,0,1.548,2.5350353999999995,0.25010037422180176,0.3031099257925461
AU-ASM,27.916,29.663,26.169,226.148,405.293,20.747,94.109,0,1.935,1.8164543,0.24231477081775665,0.3018908521458133
AU-ASM,28.028,29.329,26.727,221.629,411.012,18.959,94.344,0.158,2.298,2.77506036,0.23563143610954285,0.3005924394529222
AU-ASM,25.543000000000006,26.632,24.455,212.206,407.088,10.161,94.529,9.019,1.93,3.078886,0.2706305384635925,0.29924838755289396
AU-ASM,23.874,25.035,22.713,204.984,400.151,5.765,94.393,13.845,1.001,1.4553496,0.32672983407974243,0.2978923962848473
AU-ASM,22.192,22.992,21.392,177.136,398.145,3.991,94.328,13.243,0.74,2.7667112000000005,0.3779546320438385,0.2965581654879006
AU-ASM,21.243,22.224,20.262,177.709,398.679,4.3610000000000015,94.431,10.208,1.786,2.7667112000000005,0.4133114516735077,0.2952793950010693
AU-ASM,20.35,21.574,19.126,197.968,385.094,6.52,94.61,0.945,2.869,0.5561058000000001,0.404459685087204,0.2940897846636866
AU-ASM,19.411,21.128,17.694000000000006,253.091,343.892,8.152999999999999,94.918,0,3.1060000000000003,2.0830456,0.3915736079216003,0.29302303431476195
AU-ASM,18.459,20.301,16.617,260.823,321.443,10.078,94.888,0,2.285,2.05954958,0.37920910120010376,0.292112843793414
AU-ASM,18.486,20.828000000000007,16.145,258.404,315.81,12.091,94.794,0,1.961,1.16193918,0.3672564625740051,0.2913929129387608
AU-ASM,19.065,21.481,16.649,233.131,328.232,13.348,94.674,0,1.554,1.3216206600000002,0.35570505261421204,0.29075297962435315
AU-ASM,20.367,23.164,17.57,246.514,328.353,14.573,94.673,0,1.435,1.0937508,0.34449392557144165,0.2900675737853195
AU-ASM,21.986,24.475,19.497,231.99400000000003,355.83,15.113,94.662,0,1.9,0.9582976,0.3336478769779205,0.28934758335334765
AU-ASM,22.15,24.523000000000003,19.777,238.263,343.723,15.85,94.559,0,1.6669999999999998,0.981756,0.32322973012924194,0.2886038962599557
AU-ASM,21.736,24.432,19.04,250.912,331.666,16.097,94.539,0,1.775,1.0635212,0.3132346570491791,0.2878474004367172
AU-ASM,22.206,24.693,19.719,242.932,342.217,15.75,94.57,0,1.851,0.96571368,0.30363476276397705,0.2870889838152053
AU-ASM,21.887,24.329,19.445,245.663,334.536,15.939,94.756,0,1.846,1.025203,0.2944462895393372,0.2863395343269932
AU-ASM,21.66,24.289,19.032,241.769,339.896,15.028,94.767,0,1.5730000000000002,0.96559368,0.2856426537036896,0.28560993990359484
AU-ASM,22.344,25.189,19.498,241.177,342.365,15.985,94.69,0,1.5519999999999998,0.96559368,0.27717748284339905,0.28491108847670543
AU-ASM,22.905,25.203000000000007,20.608,240.967,346.129,16.567,94.918,0,3.075,0.56036972,0.2690756618976593,0.2842538679778366
AU-ASM,21.945,24.091,19.798,232.128,345.67,16.267,95.042,0,2.124,1.326473492,0.2613629996776581,0.2836491663385619
AU-ASM,22.177,24.02,20.333,181.425,365.134,16.541,95.062,0,2.296,1.4939352,0.2539905905723572,0.28310787149045435
AU-ASM,19.946,21.724,18.167,236.671,325.222,13.567,95.272,0,2.628,0.95387746,0.24700477719306943,0.2826203564506501
AU-ASM,18.378,20.579,16.176,240.61900000000003,301.939,13.754,95.324,0,2.533,0.34785900000000003,0.2403531819581985,0.28216720461417794
AU-ASM,17.917,20.438,15.397,239.223,299.531,13.63,95.246,0,2.09,0.34785900000000003,0.2340019345283509,0.28174461947922835
AU-ASM,18.812,21.76,15.864,236.695,304.591,15.282,95.137,0,1.959,0.3549206,0.2279158532619477,0.2813488045440345
AU-ASM,19.73,23.02,16.704,232.292,313.895,16.009,95.036,0,1.957,0.4144344,0.22208580374717712,0.2809759633068291
AU-ASM,20.353,23.326,17.38,227.55,324.414,15.828,94.899,0,1.492,1.0138618,0.21652007102966309,0.28062229926584503
AU-ASM,20.252,23.833,16.957,227.725,319.6040000000001,16.434,94.828,0,1.672,1.0589255999999998,0.2112041711807251,0.28028401591928753
AU-ASM,19.47,21.862,17.271,227.198,313.094,14.911,95.017,0,3.152,0.5187636,0.2061672210693359,0.2799573167654453
AU-ASM,16.794,19.019,14.747,225.447,295.436,13.277,95.152,0,2.779,0.4366206,0.2013876736164093,0.2796384053025227
